name,catalog,class,significance,cat_name,var_flag,streak_src_flag,pileup_flag,ra,dec,offset,missing,sat_src_flag,extent_flag,conf_flag,cat_ra,cat_dec
2CXO J102344.4-573831,SKIFF,STAR,15.028728476635052,LS 1529                    ,0,0,0,155.93511930123998,-57.641966406860725,0.4544119707429729,0.24615384615384617,0,0,0,155.9352083,-57.6420833
2CXO J124459.7-002911,VERONCAT,AGN,2.9142857142856906,SDSS J12449-0029 ,0,0,0,191.2488879286148,-0.4866094286505059,0.4544285702284354,0.24615384615384617,0,0,0,191.2488,-0.4867
2CXO J123032.9+414014,simbad,HMXB,5.028571428571435,CXOU J123032.9+414014              ,0,0,0,187.637214727948,41.67063498874809,0.454554343637377,0.3384615384615385,0,0,0,187.6370833333333,41.67055555555555
2CXO J141826.9-605353,SKIFF,STAR,2.7222222222222263,HD 124909                  ,0,0,0,214.61212826751228,-60.898293449468326,0.4545759682717071,0.47692307692307695,0,0,0,214.6119583,-60.89838889999999
2CXO J064033.4+093458,SKIFF,STAR,9.462142221111119,Cl* NGC 2264 RMS 2532      ,0,0,0,100.13949928743624,9.58292023332874,0.4546515727598618,0.23076923076923078,0,0,0,100.139625,9.5829444
2CXO J092020.1+640408,simbad,ULX,1.945945945945941,CXOU J092020.2+640409              ,0,0,0,140.0840494908482,64.0690512010939,0.4547667513926257,0.49230769230769234,0,0,0,140.08416666666668,64.06916666666666
2CXO J053847.4-690024,SKIFF,STAR,16.914929610434026,BAT99 117                  ,1,0,0,84.69787486191602,-69.00690968268016,0.4548204141969097,0.15384615384615385,0,0,0,84.698,-69.00702779999999
2CXO J053459.2-054559,SKIFF,STAR,8.865502157059751,2MASS J05345923-0545588    ,1,0,0,83.7468392493455,-5.766478248060875,0.4548238424677605,0.23076923076923078,0,0,0,83.7467917,-5.7663611
2CXO J064058.0+093653,SKIFF,STAR,5.549488534039936,Cl* NGC 2264 DS 246        ,1,0,0,100.24195519876469,9.614830148003287,0.4548279621537701,0.24615384615384617,0,0,0,100.2420833,9.6148333
2CXO J174245.4-281324,SPICY,YSO,10.192911718753825,59867,0,0,0,265.68923836182154,-28.22337749299136,0.4549396513388197,0.5230769230769231,0,0,0,265.689345,-28.223461999999998
2CXO J043008.3+351438,SKIFF,STAR,3.0285714285714613,[HAD2004] NGC 1579 118     ,0,0,0,67.53479736124729,35.244112856962225,0.45503234897688893,0.3230769230769231,0,0,0,67.534875,35.2442222
2CXO J194448.1+503130,SKIFF,STAR,5.290322580645576,NGC 6826                   ,0,0,0,296.20047319022524,50.52505422727146,0.4550781427254538,0.3076923076923077,0,0,0,296.2006667,50.5250833
2CXO J133206.9+624202,VERONCAT,AGN,6.645463493501445,SDSS J13321+6242 ,1,0,0,203.02880554026862,62.70072640875054,0.4551634315901642,0.2,0,0,0,203.0288,62.7006
2CXO J064056.2+093932,SKIFF,STAR,8.237071053579692,HBHA 0715-53               ,1,0,0,100.23425715448887,9.659033292246892,0.4553306969955294,0.16923076923076924,0,0,0,100.234375,9.6590833
2CXO J100132.8+013847,VERONCAT,AGN,5.560136198634274,COSM J10015+0138 ,0,0,0,150.38698661244382,1.646456417866032,0.4557818977245503,0.16923076923076924,0,0,0,150.3871,1.6464
2CXO J194323.3+232036,SPICY,YSO,2.324324324324309,106221,1,0,0,295.8472790436001,23.343333863112964,0.4558259716321909,0.46153846153846156,0,0,0,295.8471830000001,23.343243
